"날짜","제품명","유형","고객문의","답변내용","담당자"
"2025-06-13","기가 노트북 Max9","호환성","기가 노트북 Max9에 외장 GPU(eGPU)를 연결하여 사용할 수 있나요?","네, 가능합니다. 기가 노트북 Max9은 40Gbps의 초고속 데이터 전송 속도를 자랑하는 썬더볼트 4 포트를 2개 탑재하고 있어, 외장 GPU 박스를 연결하여 데스크톱 수준의 그래픽 성능을 활용할 수 있습니다.","박도윤"
"2025-06-13","퓨처 키보드 X","기능/사용법","퓨처 키보드 X의 투명 키캡은 오래 사용하면 변색되지 않나요? 재질이 궁금합니다.","퓨처 키보드 X의 키캡은 황변 현상에 강한 고품질의 폴리카보네이트(PC) 소재로 제작되었습니다. UV 코팅 마감을 통해 내구성을 높여, 장시간 사용에도 변색 없이 투명하고 깨끗한 상태를 유지합니다.","최지우"
"2025-06-12","에코 워치 X9","AS/교환/환불","에코 워치 X9을 떨어뜨려 베젤 부분이 찍혔는데, 수리가 되나요?","베젤 찍힘과 같은 외관 손상은 기능상 문제가 없더라도 유상으로 케이스 교체 수리를 받으실 수 있습니다. 다만, 수리 비용이 새 제품 구매 비용에 근접할 수 있어 신중한 결정이 필요합니다. 저희 서비스센터에서 정확한 견적을 받아보시고 결정하시는 것을 추천합니다.","정하은"
"2025-06-12","하이퍼 충전기","기능/사용법","하이퍼 충전기는 최대 출력이 몇 와트(W)인가요? 포트는 몇 개 있나요?","하이퍼 충전기는 단일 포트 사용 시 최대 100W의 초고속 충전을 지원하며, 총 3개의 포트(USB-C 2개, USB-A 1개)를 갖추고 있습니다. 여러 기기를 동시에 충전할 때는 총 100W의 출력을 지능적으로 배분하여 최적의 속도로 충전합니다.","김민준"
"2025-06-11","네오 노트북 Lite7","배송/결제","네오 노트북 Lite7을 주문했는데, 사은품으로 제공되는 파우치 색상은 선택할 수 없나요?","주문해주셔서 감사합니다. 현재 진행 중인 이벤트의 사은품인 전용 파우치는 색상이 랜덤으로 발송되고 있어 별도의 선택이 어려운 점 양해 부탁드립니다.","이서연"
"2025-06-11","울트라 키보드","기능/사용법","울트라 키보드의 볼륨 조절 다이얼(노브)은 어떤 기능을 하나요?","울트라 키보드 우측 상단의 컨트롤 다이얼은 기본적으로 시스템 볼륨 조절 및 음소거 기능을 합니다. 또한 전용 소프트웨어를 통해 브러시 크기 조절(포토샵), 타임라인 이동(프리미어 프로), 화면 스크롤 등 사용자가 원하는 다양한 기능으로 커스터마이징할 수 있습니다.","박도윤"
"2025-06-10","고성능 마우스 Plus10","호환성","고성능 마우스 Plus10은 블루투스로도 연결이 가능한가요, 아니면 전용 동글만 사용해야 하나요?","고성능 마우스 Plus10은 두 가지 연결 방식을 모두 지원합니다. 초저지연 연결이 필요할 때는 2.4GHz 전용 USB 동글을, 노트북이나 태블릿에 간편하게 연결할 때는 블루투스 5.1 모드를 사용하여 최대 3대의 기기에 멀티 페어링이 가능합니다.","최지우"
"2025-06-10","네오 프로젝터 Air","기능/사용법","네오 프로젝터 Air는 내장 배터리가 있나요? 있다면 얼마나 가나요?","네, 네오 프로젝터 Air는 휴대성을 극대화한 제품으로, 내장 배터리를 탑재하고 있습니다. 완충 시 최대 2.5시간 동안 전원 연결 없이 영화 한 편을 감상할 수 있습니다. 물론 전원 어댑터를 연결하여 장시간 사용도 가능합니다.","정하은"
"2025-06-09","고성능 프로젝터 Go3","AS/교환/환불","고성능 프로젝터 Go3 렌즈에 먼지가 들어간 것 같습니다. 화면에 점이 보여요. 제거할 수 있나요?","프로젝터 렌즈 내부에 유입된 먼지는 개인이 제거하기 어렵습니다. 무리하게 분해 시도를 할 경우 렌즈나 내부 부품이 손상될 수 있습니다. 저희 서비스센터에 클리닝 서비스를 신청하시면, 전문 장비를 통해 안전하게 내부 먼지를 제거해 드릴 수 있습니다.","김민준"
"2025-06-09","프로 모니터 Max","기능/사용법","프로 모니터 Max의 색역(Color Gamut) 스펙이 궁금합니다. DCI-P3를 몇 % 지원하나요?","프로 모니터 Max는 영상 및 그래픽 전문가를 위한 제품으로, DCI-P3 색역을 98%, Adobe RGB 99%를 지원하여 매우 정확하고 풍부한 색 표현이 가능합니다. 출고 시 하드웨어 캘리브레이션을 거쳐 정확한 색감을 보장하는 리포트를 함께 제공합니다.","이서연"
"2025-06-08","네오 충전기 Go3","호환성","네오 충전기 Go3로 닌텐도 스위치를 충전해도 괜찮나요?","네, 문제없습니다. 네오 충전기 Go3는 USB-PD 충전 표준을 완벽하게 지원하므로, 닌텐도 스위치를 독 모드가 아닌 휴대 모드에서 안전하고 빠르게 충전할 수 있습니다.","박도윤"
"2025-06-08","에코 글래스 Plus","보안/기타","에코 글래스 Plus를 착용하고 운전해도 법적으로 문제가 없나요?","에코 글래스 Plus는 운전자의 시야를 가리지 않는 투과형 디스플레이를 사용하며, 관련 법규를 준수하여 설계되었습니다. 하지만 운전 중 사용은 전방 주시 태만으로 이어질 수 있으므로, 안전을 위해 내비게이션 확인 등 필수적인 정보만 간략히 확인하시고 조작은 반드시 정차 후에 해주시길 강력히 권고합니다.","최지우"
"2025-06-07","퀀텀 키보드 Max","기능/사용법","퀀텀 키보드 Max는 키보드 축(스위치)을 교체할 수 있는 핫스왑 기능이 지원되나요?","네, 지원됩니다. 퀀텀 키보드 Max는 5핀 핫스왑 소켓을 채용하여, 납땜 작업 없이도 시중에 판매되는 대부분의 3핀 및 5핀 기계식 스위치로 자유롭게 교체할 수 있습니다. 사용자의 취향에 맞는 키감을 손쉽게 구성할 수 있습니다.","정하은"
"2025-06-07","프로 카메라","AS/교환/환불","프로 카메라의 센서에 먼지가 붙었는데, 서비스 센터에서 클리닝을 받을 수 있나요? 비용은 얼마인가요?","네, 저희 직영 서비스 센터에서 전문 장비를 이용한 이미지 센서 클리닝 서비스를 제공하고 있습니다. 보증 기간과 상관없이 클리닝 비용은 1회당 20,000원이 청구됩니다. 센터 방문 시 약 30분 정도 소요됩니다.","김민준"
"2025-06-06","퀀텀 프로세서 Z","호환성","퀀텀 프로세서 Z는 DDR4 메모리와 DDR5 메모리를 모두 지원하나요?","아니요, 퀀텀 프로세서 Z는 최신 기술 규격에 맞춰 DDR5 메모리만 공식적으로 지원합니다. 따라서 메인보드 구매 시 반드시 DDR5 메모리 슬롯을 지원하는 제품인지 확인하셔야 합니다. DDR4 메모리는 장착이 불가능합니다.","이서연"
"2025-06-06","퓨처 키보드 Pro","기능/사용법","퓨처 키보드 Pro의 전용 소프트웨어는 Mac OS도 지원하나요?","네, 퓨처 키보드 Pro의 전용 소프트웨어인 '퓨처 커넥트'는 윈도우와 Mac OS를 모두 완벽하게 지원합니다. Mac용 버전을 저희 홈페이지에서 다운로드하시면 키 매핑, 매크로 설정, RGB 조명 제어 등 모든 기능을 동일하게 사용하실 수 있습니다.","박도윤"
"2025-06-05","하이퍼 플랫폼","보안/기타","하이퍼 플랫폼을 사용하고 있는데, 정기적인 보안 업데이트는 어떻게 진행되나요?","하이퍼 플랫폼은 월 1회 이상의 정기적인 보안 패치와 기능 업데이트를 제공합니다. 시스템에 새로운 업데이트가 있을 경우 알림이 표시되며, 사용자가 원하는 시간에 간편하게 업데이트를 진행할 수 있습니다. 중요한 보안 패치는 자동으로 설치될 수 있습니다.","최지우"
"2025-06-05","하이퍼 이어폰 Go","AS/교환/환불","하이퍼 이어폰 Go의 한쪽 유닛에서 소리가 들리지 않습니다. 구매한 지 3개월 됐습니다.","불편을 드려 죄송합니다. 먼저 스마트폰의 블루투스 등록을 해제하고 이어폰을 초기화한 후 다시 연결해 보시길 권장합니다. 그래도 문제가 해결되지 않는다면 제품 불량일 가능성이 높습니다. 구매 후 1년 이내의 제품은 저희 고객센터를 통해 무상으로 교환해 드리고 있습니다.","정하은"
"2025-06-04","하이퍼 허브 Plus","기능/사용법","하이퍼 허브 Plus의 이더넷(랜) 포트는 기가비트를 지원하나요?","네, 지원합니다. 하이퍼 허브 Plus에 탑재된 RJ45 이더넷 포트는 10/100/1000Mbps 기가비트 이더넷을 지원하여, 와이파이보다 훨씬 빠르고 안정적인 유선 네트워크 환경을 노트북에 제공합니다.","김민준"
"2025-06-04","울트라 플랫폼 Max7","호환성","울트라 플랫폼 Max7에 리눅스(우분투)를 설치해서 사용할 수 있나요?","네, 울트라 플랫폼 Max7은 우분투 22.04 LTS 버전을 기준으로 내부 테스트를 완료하였으며, 주요 하드웨어들이 정상적으로 작동하는 것을 확인했습니다. 다만, 일부 특수 기능의 경우 드라이버 지원이 완벽하지 않을 수 있습니다. 리눅스 관련 기술 지원은 커뮤니티를 통해 도움을 받으시는 것을 추천합니다.","이서연"
"2025-06-03","네오 시스템 X","배송/결제","네오 시스템 X를 주문했는데, 제가 원하는 부품으로 사양을 변경해서 주문할 수 있나요?","네오 시스템 X는 완성형 PC로 미리 빌드된 제품이라 부품 변경은 어렵습니다. 하지만 저희 '커스텀 빌드' 서비스를 이용하시면, 고객님께서 원하시는 CPU, 그래픽카드, 메모리 등으로 자유롭게 사양을 구성하여 주문 제작하실 수 있습니다.","박도윤"
"2025-06-03","퓨처 노트북 Z4","기능/사용법","퓨처 노트북 Z4는 터치 스크린과 360도 회전 힌지를 지원하나요?","네, 퓨처 노트북 Z4는 360도 회전하는 힌지를 적용한 2-in-1 컨버터블 노트북입니다. 터치 스크린과 전용 스타일러스 펜을 지원하여, 노트북 모드, 태블릿 모드, 텐트 모드 등 다양한 형태로 변형하여 사용하실 수 있습니다.","최지우"
"2025-06-02","울트라 키보드 Go5","AS/교환/환불","울트라 키보드 Go5의 USB-C 포트가 헐거워져서 연결이 자꾸 끊어집니다. AS 가능한가요?","네, 포트 손상은 저희 AS 센터를 통해 수리가 가능합니다. 연결 포트 부품을 교체하는 작업이 필요하며, 보증 기간(1년) 이내라면 무상으로, 기간이 지났다면 유상으로 처리됩니다. 고객센터에 접수하시면 절차를 안내해 드리겠습니다.","정하은"
"2025-06-02","스마트 스피커 Pro3","기능/사용법","스마트 스피커 Pro3는 어떤 음성 비서를 지원하나요? 구글 어시스턴트인가요?","스마트 스피커 Pro3는 구글 어시스턴트와 아마존 알렉사를 모두 지원하는 듀얼 AI 스피커입니다. 전용 앱을 통해 사용자가 선호하는 음성 비서를 선택하여 활성화할 수 있습니다.","김민준"
"2025-06-01","무선 스피커 X2","호환성","무선 스피커 X2 두 개를 사서 PC에 연결하고 싶은데, 스테레오 페어링이 가능한가요?","네, 가능합니다. 무선 스피커 X2는 TWS(True Wireless Stereo) 기능을 지원합니다. 두 스피커의 전원을 켠 후, 한쪽 스피커의 재생 버튼을 길게 누르면 두 기기가 자동으로 연결되어 좌/우 채널이 분리된 완벽한 스테레오 스피커로 작동합니다.","이서연"
"2025-06-01","퓨처 노트북 Plus6","보안/기타","퓨처 노트북 Plus6는 지문 인식 센서가 있나요?","네, 퓨처 노트북 Plus6는 전원 버튼에 지문 인식 센서가 통합되어 있습니다. Windows Hello 기능을 통해 비밀번호 입력 없이 손가락 터치 한 번으로 빠르고 안전하게 로그인할 수 있습니다.","박도윤"
"2025-05-31","스마트 워치 Pro","기능/사용법","스마트 워치 Pro로 교통카드를 사용할 수 있나요?","네, 스마트 워치 Pro는 NFC 기능을 탑재하고 있으며, 티머니 및 캐시비 교통카드 서비스를 지원합니다. 전용 앱에서 사용하시는 교통카드를 등록하고 충전해두시면, 지갑이나 스마트폰 없이 워치만으로 버스, 지하철 등 대중교통을 편리하게 이용할 수 있습니다.","최지우"
"2025-05-31","퓨처 드론 Pro","AS/교환/환불","퓨처 드론 Pro의 짐벌이 한쪽으로 기울어져서 수평이 맞지 않습니다. 어떻게 해야 하나요?","먼저 평평한 곳에 드론을 놓고 앱 설정 메뉴에서 '짐벌 자동 캘리브레이션'을 실행해 보시기 바랍니다. 캘리브레이션 후에도 수평이 맞지 않는다면, 추락 등의 충격으로 인한 짐벌 손상일 수 있습니다. 이 경우 하드웨어 점검이 필요하므로 AS 센터에 입고해 주셔야 합니다.","정하은"
"2025-05-30","네오 마우스 Lite1","기능/사용법","네오 마우스 Lite1의 DPI는 어떻게 조절하나요?","네오 마우스 Lite1은 휠 버튼 아래에 위치한 DPI 변경 버튼을 통해 마우스 감도를 조절할 수 있습니다. 버튼을 누를 때마다 800 / 1200 / 1600 DPI 3단계로 순환 변경되며, LED 색상으로 현재 DPI 단계를 확인할 수 있습니다.","김민준"
"2025-05-30","퓨처 가습기 Air","AS/교환/환불","퓨처 가습기 Air에서 냄새가 나는데 어떻게 해야 하나요?","가습기에서 냄새가 나는 경우, 수조에 물이 오래 고여 있었거나 세척이 제대로 되지 않았을 가능성이 높습니다. 구연산이나 식초를 물에 희석하여 수조를 깨끗하게 세척하고, 진동자 부분도 면봉으로 부드럽게 닦아낸 후 햇볕에 완전히 건조해 보시기 바랍니다. 주기적인 세척이 악취 예방에 가장 중요합니다.","이서연"
"2025-05-29","울트라 로봇청소기","기능/사용법","울트라 로봇청소기는 물걸레 청소도 가능한가요? 물걸레는 자동으로 세척되나요?","네, 울트라 로봇청소기는 강력한 진공 청소와 물걸레 청소를 동시에 수행합니다. 또한, 청소가 끝나고 스테이션으로 복귀하면 오염된 물걸레를 자동으로 고온 세척하고 열풍으로 건조까지 해주어, 사용자가 손댈 필요 없이 항상 깨끗한 상태를 유지합니다.","박도윤"
"2025-05-29","무선 허브 Go","호환성","무선 허브 Go를 맥북 에어 M2 모델에 연결해서 사용하고 싶은데, 호환성에 문제가 없나요?","네, 무선 허브 Go는 애플 실리콘(M1, M2, M3) 칩을 탑재한 모든 맥북 시리즈와 완벽하게 호환됩니다. 별도의 드라이버 설치 없이 USB-C 포트에 연결하는 즉시 모든 포트(HDMI, USB-A, SD카드 리더 등)를 정상적으로 사용할 수 있습니다.","최지우"
"2025-05-28","무선 로봇청소기 Plus","배송/결제","무선 로봇청소기 Plus를 구매하면 설치 기사님이 와서 설치해주나요?","무선 로봇청소기 Plus는 사용자가 직접 간편하게 설치할 수 있도록 설계된 제품입니다. 스테이션을 전원에 연결하고, 앱의 안내에 따라 와이파이 설정만 해주시면 바로 사용 가능합니다. 별도의 기사 방문 설치 서비스는 제공되지 않지만, 설치에 어려움이 있으시면 원격으로 지원해 드리고 있습니다.","정하은"
"2025-05-28","스마트 글래스 SE10","기능/사용법","스마트 글래스 SE10으로 통화할 때 상대방이 제 목소리가 잘 안 들린다고 합니다.","통화 품질에 불편을 드려 죄송합니다. 스마트 글래스는 주변 소음의 영향을 받을 수 있습니다. 먼저 마이크 홀이 이물질로 막혀있지 않은지 확인해 주시고, 통화 시에는 가급적 조용한 환경에서 사용하시는 것을 권장합니다. 또한, 펌웨어 업데이트를 통해 마이크 성능이 개선될 수 있으니 앱에서 최신 펌웨어 여부를 확인해 주시기 바랍니다.","김민준"
"2025-05-27","AI 노트북 Plus3","보안/기타","AI 노트북 Plus3에는 프라이버시를 위한 카메라 셔터가 있나요?","네, 있습니다. AI 노트북 Plus3는 사용자의 프라이버시 보호를 위해 웹캠에 물리적인 프라이버시 셔터(웹캠 커버)를 기본으로 탑재하고 있습니다. 카메라를 사용하지 않을 때 셔터를 닫아두면 해킹으로 인한 사생활 노출을 원천적으로 차단할 수 있습니다.","이서연"
"2025-05-27","퀀텀 가습기 Go4","기능/사용법","퀀텀 가습기 Go4는 가열식인가요, 초음파식인가요?","퀀텀 가습기 Go4는 물을 끓여 살균된 따뜻한 증기를 내보내는 '가열식' 가습기입니다. 세균 번식의 우려가 적어 위생적이며, 실내 온도를 약간 높여주는 효과도 있어 특히 겨울철에 사용하기 좋습니다.","박도윤"
"2025-05-26","기가 메모리 Ultra9","호환성","기가 메모리 Ultra9을 제 게이밍 PC(인텔 13900K, Z790 보드)에 사용하려고 합니다. XMP 3.0을 지원하나요?","네, 기가 메모리 Ultra9은 인텔 XMP 3.0 기술을 완벽하게 지원합니다. 메인보드 바이오스(BIOS)에 진입하여 XMP 프로파일을 활성화하는 것만으로, 메모리의 성능을 광고된 오버클럭 스펙까지 손쉽고 안정적으로 끌어올릴 수 있습니다.","최지우"
"2025-05-26","울트라 공기청정기 Lite9","AS/교환/환불","울트라 공기청정기 Lite9의 필터는 어디서 구매하나요? 모델명이 궁금합니다.","필터는 저희 공식 온라인 스토어 및 지정된 온라인 마켓에서 구매하실 수 있습니다. '울트라 공기청정기 Lite9 전용 교체 필터' 또는 필터 모델명 'UF-L9H'로 검색하시면 됩니다. 정품 필터를 사용하셔야 제품의 최대 성능과 수명을 보장받을 수 있습니다.","정하은"
"2025-05-25","하이퍼 충전기 Z","기능/사용법","하이퍼 충전기 Z의 C타입 포트는 PPS 충전을 지원하나요?","네, 하이퍼 충전기 Z의 USB-C 포트 2개는 모두 USB-PD 3.0 표준과 더불어 PPS(Programmable Power Supply) 규격을 지원합니다. 따라서 갤럭시 스마트폰과 같이 PPS 충전을 지원하는 기기를 연결하면, '초고속 충전 2.0'까지 활성화되어 최적의 속도로 충전할 수 있습니다.","김민준"
"2025-05-25","네오 허브","연결/설치","네오 허브를 설치했는데, 연결된 IoT 기기들이 자꾸 오프라인으로 표시됩니다.","허브에 연결된 기기들이 오프라인으로 표시될 경우, 먼저 허브와 와이파이 공유기 사이의 연결이 안정적인지 확인해 주십시오. 그 다음, 문제가 발생하는 기기와 허브 사이의 거리가 너무 멀거나 장애물(콘크리트 벽 등)이 많지 않은지 확인이 필요합니다. 지그비(Zigbee) 신호는 장애물에 약할 수 있습니다.","이서연"
"2025-05-24","퀀텀 글래스 Z","기능/사용법","퀀텀 글래스 Z의 투명도는 조절할 수 있나요?","퀀텀 글래스 Z는 전기변색(Electrochromic) 기술이 적용된 렌즈를 사용하여, 안경다리의 버튼이나 전용 앱을 통해 렌즈의 투명도를 3단계로 조절할 수 있습니다. 밝은 야외에서는 선글라스처럼 어둡게, 실내에서는 일반 안경처럼 투명하게 변경하여 사용할 수 있습니다.","박도윤"
"2025-05-24","하이퍼 카메라 X","호환성","하이퍼 카메라 X를 짐벌에 장착해서 사용하고 싶은데, 외부 마이크를 연결할 수 있나요?","네, 가능합니다. 하이퍼 카메라 X는 3.5mm 외부 마이크 입력 단자를 지원하여, 샷건 마이크나 무선 핀 마이크 등 고품질의 외부 마이크를 연결하여 더욱 선명한 사운드를 녹음할 수 있습니다.","최지우"
"2025-05-23","스마트 충전기 Air","기능/사용법","스마트 충전기 Air는 무선 충전 기능도 있나요?","네, 스마트 충전기 Air는 상단에 Qi 규격의 무선 충전 패드가 내장되어 있습니다. 스마트폰이나 무선 이어폰 등 무선 충전을 지원하는 기기를 올려두는 것만으로 간편하게 충전할 수 있으며, 최대 15W의 고속 무선 충전을 지원합니다.","정하은"
"2025-05-23","에코 카메라 Plus3","보안/기타","에코 카메라 Plus3는 녹화된 영상을 클라우드에만 저장하나요? SD카드 저장은 안 되나요?","두 가지 방식 모두 지원합니다. 사용자의 선택에 따라 카메라 본체의 MicroSD 카드(최대 256GB)에 영상을 저장하거나, 저희가 제공하는 월정액 유료 서비스인 '에코 클라우드'에 안전하게 백업할 수 있습니다. 두 가지 방식을 동시에 사용하는 것도 가능합니다.","김민준"
"2025-05-22","무선 키보드 Pro4","AS/교환/환불","무선 키보드 Pro4의 키캡 인쇄가 지워졌는데, AS 받을 수 있나요?","키캡의 인쇄가 마모되어 지워지는 것은 장기간 사용 시 발생할 수 있는 자연스러운 현상으로, 제품 불량에 해당하지 않아 무상 AS 대상은 아닙니다. 다만, 저희 공식 스토어에서 교체용 정품 키캡 세트를 별도로 판매하고 있으니, 이를 구매하여 교체하실 수 있습니다.","이서연"
"2025-05-22","AI 글래스 Z","기능/사용법","AI 글래스 Z의 실시간 통역 기능은 몇 개 언어를 지원하나요? 인터넷 연결이 필수인가요?","AI 글래스 Z는 현재 영어, 중국어, 일본어, 스페인어 등 12개 주요 언어 간의 실시간 양방향 통역을 지원하며, 지속적인 업데이트를 통해 지원 언어를 확대하고 있습니다. 통역 기능은 클라우드 AI 서버를 통해 처리되므로, 사용 시 스마트폰이 인터넷에 연결되어 있어야 합니다.","박도윤"
"2025-05-21","네오 모니터","배송/결제","네오 모니터를 주문했는데, 무결점 정책이 적용되는 제품인가요?","네, 고객님. 저희가 판매하는 모든 네오 모니터 제품에는 '무결점 보증 정책'이 기본으로 적용됩니다. 제품 수령 후 30일 이내에 휘점(Bright Dot) 1개 이상 또는 흑점(Dark Dot) 3개 이상 발견 시 새 제품으로 교환해 드리고 있습니다.","최지우"
"2025-05-21","기가 글래스 Max","호환성","기가 글래스 Max를 플레이스테이션5에 연결해서 가상 스크린으로 게임을 할 수 있나요?","네, 가능합니다. 기가 글래스 Max는 USB-C 또는 HDMI를 통해 플레이스테이션5, 닌텐도 스위치 등 다양한 콘솔 게임기와 연결할 수 있습니다. 연결 시 눈앞에 120인치 크기의 가상 스크린이 펼쳐져, 압도적인 몰입감으로 게임을 즐길 수 있습니다.","정하은"
"2025-05-20","스마트 공기청정기 Go9","기능/사용법","스마트 공기청정기 Go9의 필터 교체 주기는 어떻게 되나요?","필터 교체 주기는 사용 환경과 가동 시간에 따라 달라지지만, 하루 평균 12시간 사용 기준으로 약 6개월입니다. 제품 상단의 LED 표시등이 빨간색으로 바뀌거나 전용 앱에서 교체 알림이 오면, 필터를 교체해 주시면 됩니다.","김민준"
"2025-05-20","프로 모니터","AS/교환/환불","프로 모니터의 스탠드가 고장났습니다. 스탠드만 따로 구매할 수 있나요?","네, 가능합니다. 저희 공식 스토어의 '부품/액세서리' 카테고리에서 프로 모니터 전용 정품 스탠드를 별도로 구매하실 수 있습니다. 또한, 프로 모니터는 100x100mm 표준 VESA 마운트 홀을 지원하므로, 시중의 다양한 모니터 암(Arm)을 장착하여 사용하시는 것도 좋은 방법입니다.","이서연"
"2025-05-19","무선 키보드 Plus8","연결/설치","무선 키보드 Plus8이 블루투스 페어링 모드로 진입이 안됩니다.","Fn 키와 숫자 '1' 키를 약 3초간 길게 눌러주셔야 페어링 모드로 진입하며, 이때 키보드 상단의 LED가 파란색으로 빠르게 깜빡입니다. 만약 이렇게 해도 진입이 안 된다면, 배터리가 부족할 수 있으니 케이블을 연결하여 충분히 충전하신 후 다시 시도해 보시기 바랍니다.","박도윤"
"2025-05-19","에코 허브 Plus","기능/사용법","에코 허브 Plus는 어떤 통신 방식을 지원하나요? 지그비, Z-Wave 둘 다 되나요?","에코 허브 Plus는 지그비(Zigbee) 3.0과 와이파이(Wi-Fi)를 지원하는 IoT 기기들을 연결하고 제어할 수 있습니다. 아쉽게도 Z-Wave 통신 방식은 지원하지 않으니, 연동할 기기를 구매하실 때 통신 방식을 꼭 확인해 주시기 바랍니다.","최지우"
